timestamp,cpu_percent,memory_percent,memory_used_gb,memory_total_gb,disk_read_mb_s,disk_write_mb_s
1783582432.4548917,0.0,92.7,14.394,15.529,0.0,0.0
1783582433.4633503,53.3,93.0,14.438,15.529,66.063,7.348
1783582434.4770296,60.2,93.0,14.446,15.529,10.358,6.397
1783582435.4886892,48.5,93.1,14.462,15.529,29.744,4.942
1783582436.4987593,51.1,93.0,14.445,15.529,12.581,5.04
1783582437.5145295,50.8,92.7,14.399,15.529,5.318,0.0
1783582438.526942,47.3,92.8,14.406,15.529,13.643,4.074
1783582439.536963,50.8,92.8,14.417,15.529,14.805,3.96
1783582440.5514612,57.7,92.9,14.42,15.529,1.798,2.957
1783582441.5628958,51.8,92.7,14.402,15.529,2.77,3.121
1783582442.5770664,79.7,92.4,14.342,15.529,0.957,0.108
1783582443.597652,60.4,91.9,14.279,15.529,1.78,2.997
1783582444.6079075,56.5,91.9,14.273,15.529,4.164,2.973
1783582445.617296,53.0,91.5,14.213,15.529,11.912,3.344
1783582446.6303515,56.0,91.4,14.196,15.529,20.977,0.367
1783582447.6424088,58.7,91.4,14.195,15.529,34.355,2.964
1783582448.655679,71.6,91.6,14.228,15.529,71.907,3.073
1783582449.673668,71.9,92.5,14.358,15.529,94.879,2.087
1783582450.6945765,74.9,92.8,14.407,15.529,95.863,0.088
1783582451.707936,67.9,93.4,14.509,15.529,114.952,2.159
1783582452.7233653,79.6,94.1,14.611,15.529,163.399,2.362
1783582453.738574,88.9,94.5,14.671,15.529,111.734,2.205
1783582454.7532525,96.1,95.0,14.747,15.529,69.303,0.062
1783582455.7753968,88.4,94.5,14.672,15.529,33.604,5.503
1783582456.799071,88.1,94.5,14.676,15.529,93.891,2.038
1783582457.819326,81.6,94.9,14.74,15.529,107.387,1.604
1783582458.83521,83.4,95.7,14.865,15.529,440.932,0.027
1783582459.8865106,81.9,95.4,14.81,15.529,108.308,1.668
1783582460.905355,83.6,95.4,14.809,15.529,110.707,1.963
1783582461.9218729,80.0,93.9,14.579,15.529,37.729,2.252
1783582462.9378736,74.7,91.9,14.268,15.529,30.294,0.4
1783582463.99292,88.5,89.1,13.843,15.529,12.346,1.918
1783582465.0154219,97.4,87.9,13.651,15.529,39.57,153.434
1783582466.0369043,79.6,86.5,13.427,15.529,2.187,112.402
1783582467.0567114,74.7,84.7,13.154,15.529,2.739,62.298
1783582468.0767558,81.3,83.1,12.903,15.529,0.643,152.341
1783582469.0933545,77.0,81.5,12.657,15.529,1.436,115.62
1783582470.1099596,80.9,78.0,12.112,15.529,0.392,433.466
1783582471.1297557,83.8,77.1,11.974,15.529,6.007,0.379
1783582472.1489794,81.4,76.5,11.876,15.529,9.567,2.71
1783582473.1681216,81.9,74.6,11.592,15.529,15.038,192.813
1783582474.1842408,85.5,72.8,11.307,15.529,50.103,185.86
1783582475.2024565,82.2,72.1,11.197,15.529,15.142,109.31
1783582476.2211587,68.3,72.2,11.216,15.529,2.897,0.046
1783582477.2396626,61.9,72.5,11.259,15.529,61.138,0.173
1783582478.255865,69.7,73.3,11.385,15.529,72.224,0.023
1783582479.2726235,65.0,73.7,11.448,15.529,21.126,0.104
1783582480.2903094,69.8,73.9,11.47,15.529,4.862,0.035
1783582481.3065994,61.6,73.9,11.482,15.529,0.842,0.323
1783582482.3239336,62.2,74.0,11.499,15.529,0.906,0.227
1783582483.3656545,77.5,73.3,11.384,15.529,33.988,19.034
1783582484.3846724,84.0,72.4,11.249,15.529,6.215,46.134
1783582485.405072,87.8,71.6,11.115,15.529,7.848,0.031
1783582486.420804,66.6,71.9,11.165,15.529,2.882,0.2
1783582487.4384036,66.4,72.2,11.216,15.529,12.092,0.004
1783582488.456207,69.4,72.2,11.215,15.529,13.904,1.693
1783582489.4720855,72.8,71.9,11.166,15.529,54.551,0.8
1783582490.4868555,64.7,72.0,11.176,15.529,9.258,0.008
1783582491.5051982,64.8,72.1,11.202,15.529,3.269,0.104
1783582492.5232575,68.4,72.3,11.229,15.529,0.338,0.038
1783582493.5402706,66.9,72.5,11.265,15.529,0.515,0.019
1783582494.5566604,79.1,72.4,11.244,15.529,3.021,0.242
1783582495.576954,61.0,72.5,11.263,15.529,3.132,0.065
1783582496.5902689,69.7,72.6,11.274,15.529,4.272,40.651
1783582497.6074073,60.8,72.6,11.278,15.529,0.611,0.023
1783582498.624963,68.4,73.4,11.403,15.529,4.699,0.061
1783582499.6434083,64.1,73.5,11.413,15.529,0.836,0.268
1783582500.6608732,63.0,73.7,11.444,15.529,0.994,0.004
1783582501.678386,61.9,73.7,11.442,15.529,1.098,0.185
1783582502.696334,64.9,73.9,11.47,15.529,11.004,0.127
1783582503.7109928,72.2,73.8,11.466,15.529,76.094,0.216
1783582504.7283473,74.6,74.1,11.508,15.529,2.88,0.065
1783582505.746496,73.7,74.2,11.522,15.529,0.434,0.537
1783582506.766289,69.9,74.3,11.538,15.529,26.184,0.043
1783582507.7799387,66.1,74.4,11.552,15.529,0.763,0.0
1783582508.797589,60.9,74.5,11.563,15.529,0.537,0.042
1783582509.81472,65.6,74.6,11.578,15.529,0.68,0.05
1783582510.8295867,71.0,74.6,11.591,15.529,0.62,0.027
1783582511.8466706,74.5,75.1,11.664,15.529,37.197,172.868
1783582512.8648229,65.3,75.3,11.694,15.529,7.93,0.019
1783582513.8822799,66.7,75.6,11.733,15.529,3.137,0.211
1783582514.9004912,62.7,75.7,11.753,15.529,0.786,0.088
1783582515.9458096,64.8,75.8,11.774,15.529,18.225,4.353
1783582516.9634063,62.2,76.1,11.824,15.529,43.83,0.25
1783582517.98057,52.1,76.2,11.834,15.529,58.852,0.096
1783582518.998108,57.6,76.4,11.859,15.529,0.188,0.123
1783582520.0149362,57.0,76.5,11.878,15.529,2.048,0.158
1783582521.0283184,85.6,79.1,12.29,15.529,139.343,0.316
1783582522.0431259,72.8,78.9,12.25,15.529,1.902,13.6
1783582523.0596335,63.1,79.0,12.27,15.529,3.478,13.554
1783582524.0770698,65.4,79.1,12.285,15.529,2.069,13.672
1783582525.095359,86.2,79.3,12.313,15.529,24.355,6.939
1783582526.1144047,66.6,79.4,12.333,15.529,2.833,11.454
1783582527.1312735,65.5,79.1,12.281,15.529,17.913,52.148
1783582528.149179,65.7,79.5,12.351,15.529,18.149,0.349
1783582529.163328,55.0,79.7,12.373,15.529,0.851,0.116
1783582530.1802895,54.9,79.5,12.345,15.529,0.703,0.015
1783582531.1974795,63.6,80.0,12.431,15.529,43.211,0.0
1783582532.2110105,60.0,80.6,12.514,15.529,41.299,0.247
1783582533.2245111,62.2,81.4,12.636,15.529,23.4,0.239
1783582534.2432055,62.5,81.8,12.705,15.529,9.005,0.165
1783582535.2571373,69.9,82.0,12.73,15.529,1.41,0.146
1783582536.2736347,65.1,82.2,12.76,15.529,6.26,0.457
1783582537.2897458,59.8,82.3,12.785,15.529,0.469,0.223
1783582538.3034222,61.4,82.4,12.792,15.529,0.593,0.027
1783582539.3200648,64.6,83.1,12.91,15.529,8.161,0.027
1783582540.3387065,58.4,83.2,12.917,15.529,1.607,0.134
1783582541.353372,58.8,83.2,12.923,15.529,0.678,0.054
1783582542.3687253,57.9,83.3,12.943,15.529,0.597,150.902
1783582543.3851986,64.3,83.9,13.027,15.529,5.142,0.396
1783582544.4056754,66.3,83.6,12.99,15.529,12.665,0.299
1783582545.4558308,63.0,84.1,13.065,15.529,69.302,0.089
1783582546.4753983,62.6,84.0,13.046,15.529,25.034,3.421
1783582547.493956,54.8,83.7,13.004,15.529,0.702,0.02
1783582548.5122294,56.9,83.9,13.033,15.529,0.621,0.104
1783582549.5293374,51.7,84.1,13.06,15.529,1.114,0.077
1783582550.5455823,53.2,84.2,13.073,15.529,0.077,0.008
1783582551.5635345,54.6,84.3,13.088,15.529,3.103,0.2
1783582552.5812323,59.6,84.4,13.113,15.529,0.998,0.093
