timestamp,cpu_percent,memory_percent,memory_used_gb,memory_total_gb,disk_read_mb_s,disk_write_mb_s
1783579952.6276205,14.3,94.7,14.711,15.529,0.0,0.0
1783579953.6365626,46.6,95.1,14.771,15.529,20.675,0.031
1783579954.6509628,53.3,95.1,14.766,15.529,1.105,4.829
1783579955.6604135,46.6,95.5,14.825,15.529,6.792,4.377
1783579956.672121,52.7,94.8,14.721,15.529,3.437,2.965
1783579957.6840243,72.8,94.4,14.662,15.529,7.247,0.278
1783579958.6949992,57.2,93.9,14.587,15.529,1.967,2.967
1783579959.7068076,54.6,93.5,14.521,15.529,1.131,3.139
1783579960.7198322,69.2,93.3,14.489,15.529,1.632,0.016
1783579961.7350214,72.3,93.4,14.499,15.529,68.691,3.001
1783579962.7478287,59.4,93.8,14.57,15.529,112.855,2.04
1783579963.761959,72.9,91.6,14.228,15.529,68.839,390.267
1783579964.774992,70.4,91.3,14.174,15.529,67.255,62.097
1783579965.7855465,46.9,92.1,14.296,15.529,147.189,2.003
1783579966.7946436,50.6,92.7,14.39,15.529,159.499,1.986
1783579967.8051467,55.3,92.9,14.432,15.529,133.385,2.408
1783579968.8187008,63.6,93.5,14.517,15.529,118.981,0.405
1783579969.8305318,60.3,94.1,14.612,15.529,120.288,1.977
1783579970.8478177,66.1,94.7,14.707,15.529,113.553,2.047
1783579971.8618758,73.7,95.3,14.804,15.529,106.692,2.042
1783579972.876336,79.2,94.9,14.741,15.529,109.799,0.0
1783579973.8906455,70.6,95.2,14.787,15.529,128.189,1.972
1783579974.906952,67.8,94.8,14.724,15.529,187.859,2.314
1783579975.9224105,92.9,94.4,14.657,15.529,112.28,17.615
1783579976.9383895,66.3,95.0,14.755,15.529,94.674,0.111
1783579977.9570024,63.3,95.7,14.857,15.529,114.64,0.165
1783579978.9694748,63.7,95.8,14.873,15.529,114.536,0.251
1783579979.9881065,67.1,95.6,14.842,15.529,113.031,0.1
1783579981.0056856,62.8,91.6,14.224,15.529,43.402,647.72
1783579982.0198028,68.1,89.6,13.915,15.529,4.556,332.451
1783579983.0316236,69.3,87.8,13.632,15.529,6.198,351.053
1783579984.0471697,67.8,83.3,12.943,15.529,10.289,486.607
1783579985.0651624,67.0,80.4,12.492,15.529,39.275,362.478
1783579986.083864,59.5,78.4,12.169,15.529,11.975,304.555
1783579987.0952654,61.8,76.5,11.873,15.529,3.576,222.607
1783579988.112227,70.8,74.9,11.63,15.529,18.174,147.575
1783579989.1243148,68.6,74.0,11.491,15.529,35.358,93.896
1783579990.1396384,67.4,71.9,11.164,15.529,2.878,256.303
1783579991.1582341,67.0,70.6,10.97,15.529,2.002,176.741
1783579992.2055597,61.0,70.1,10.878,15.529,10.875,138.571
