scenario,run_id,node_count,spark_master,input_format,extract_seconds,transform_seconds,load_seconds,total_seconds,feature_rows,resource_log
1-node,r01,1,local[2],parquet,254.2083426360041,28.21393661998445,21.256540618021972,303.6788198740105,1180395,outputs\logs\resource_usage_1-node_r01.csv
1-node-4c,r01,1,local[4],parquet,240.28355495003052,25.69196164800087,20.866227987979073,286.84174458601046,1180395,outputs\logs\resource_usage_1-node-4c_r01.csv
1-node-8c,r01,1,local[8],parquet,220.39471318898723,25.82984717900399,21.14169157500146,267.3662519429927,1180395,outputs\logs\resource_usage_1-node-8c_r01.csv
1-node,r02,1,local[2],parquet,269.29278187901946,27.96235029300442,21.32914595201146,318.58427812403534,1180395,outputs\logs\resource_usage_1-node_r02.csv
1-node-4c,r02,1,local[4],parquet,255.1543866689899,26.34751084301388,19.643618680012878,301.14551619201666,1180395,outputs\logs\resource_usage_1-node-4c_r02.csv
1-node-8c,r02,1,local[8],parquet,205.4478277110029,26.26325518701924,22.487782309006434,254.19886520702858,1180395,outputs\logs\resource_usage_1-node-8c_r02.csv
1-node,r03,1,local[2],parquet,257.02842967095785,27.575144975970034,20.88276368996594,305.4863383368938,1180395,outputs\logs\resource_usage_1-node_r03.csv
1-node-4c,r03,1,local[4],parquet,253.02979201101698,26.483002774009947,20.647195789031684,300.1599905740586,1180395,outputs\logs\resource_usage_1-node-4c_r03.csv
1-node-8c,r03,1,local[8],parquet,202.9302603279939,25.76796737301629,20.11861487600254,248.81684257701272,1180395,outputs\logs\resource_usage_1-node-8c_r03.csv
1-node,r04,1,local[2],parquet,256.65138963604113,29.16368506901199,20.71778368600644,306.53285839105956,1180395,outputs\logs\resource_usage_1-node_r04.csv
1-node-4c,r04,1,local[4],parquet,250.21988783800043,26.498072562972084,20.017792758008,296.7357531589805,1180395,outputs\logs\resource_usage_1-node-4c_r04.csv
1-node-8c,r04,1,local[8],parquet,205.71372384001734,26.01046141301049,20.07576923700981,251.79995449003763,1180395,outputs\logs\resource_usage_1-node-8c_r04.csv
1-node,r05,1,local[2],parquet,248.89783620199887,28.406296022003517,21.7608764829929,299.0650087069953,1180395,outputs\logs\resource_usage_1-node_r05.csv
1-node-4c,r05,1,local[4],parquet,233.65875194198452,25.66563246800797,20.101465721032582,279.4258501310251,1180395,outputs\logs\resource_usage_1-node-4c_r05.csv
1-node-8c,r05,1,local[8],parquet,199.47965339402435,26.746997728012502,21.053883326007053,247.2805344480439,1180395,outputs\logs\resource_usage_1-node-8c_r05.csv
1-node,r06,1,local[2],parquet,251.49245943396818,27.125100139004644,19.813051797042135,298.43061137001496,1180395,outputs\logs\resource_usage_1-node_r06.csv
1-node-4c,r06,1,local[4],parquet,234.02798775298288,26.025326195987873,19.92644467903301,279.97975862800376,1180395,outputs\logs\resource_usage_1-node-4c_r06.csv
1-node-8c,r06,1,local[8],parquet,236.72092261497164,44.944838555005845,35.96258578100242,317.6283469509799,1180395,outputs\logs\resource_usage_1-node-8c_r06.csv
2-node,r01,2,spark://spark-master:7077,parquet,249.21093828603625,159.18269683001563,30.87695955298841,439.2705946690403,1180395,outputs\logs\resource_usage_2-node_r01.csv
2-node,r02,2,spark://spark-master:7077,parquet,246.46215182897868,34.16381778899813,45.8431181369815,326.4690877549583,1180395,outputs\logs\resource_usage_2-node_r02.csv
2-node,r03,2,spark://spark-master:7077,parquet,235.27460447198246,43.97456358798081,26.9771399339661,306.22630799392937,1180395,outputs\logs\resource_usage_2-node_r03.csv
2-node,r04,2,spark://spark-master:7077,parquet,213.87101172696566,33.64047846395988,21.335906193009578,268.8473963839351,1180395,outputs\logs\resource_usage_2-node_r04.csv
2-node,r05,2,spark://spark-master:7077,parquet,228.6736953909858,32.026076325040776,21.6032573680277,282.3030290840543,1180395,outputs\logs\resource_usage_2-node_r05.csv
2-node,r06,2,spark://spark-master:7077,parquet,220.77393740799744,32.44783139100764,21.26286133105168,274.48463013005676,1180395,outputs\logs\resource_usage_2-node_r06.csv
3-node,r01,3,spark://spark-master:7077,parquet,270.46503269596724,125.61806001700461,27.992682003008667,424.0757747159805,1180395,outputs\logs\resource_usage_3-node_r01.csv
3-node,r02,3,spark://spark-master:7077,parquet,485.8638668800122,120.94298275699839,89.83352326002205,696.6403728970326,1180395,outputs\logs\resource_usage_3-node_r02.csv
3-node,r03,3,spark://spark-master:7077,parquet,323.0718972660252,69.8998903700267,28.03998734097695,421.01177497702884,1180395,outputs\logs\resource_usage_3-node_r03.csv
3-node,r04,3,spark://spark-master:7077,parquet,370.44287056999747,78.63922763004666,34.15313204599079,483.2352302460349,1180395,outputs\logs\resource_usage_3-node_r04.csv
3-node,r05,3,spark://spark-master:7077,parquet,340.33708074700553,71.06385238998337,28.80010322900489,440.2010363659938,1180395,outputs\logs\resource_usage_3-node_r05.csv
3-node,r06,3,spark://spark-master:7077,parquet,265.9091196549707,52.05205531104002,24.98396507400321,342.94514004001394,1180395,outputs\logs\resource_usage_3-node_r06.csv
