accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,mcc,auroc,auprc,brier_score,tn,fp,fn,tp,calibration_intercept,calibration_slope,brier_skill_score,model,fold,split
0.879558,0.537342,0.60396,0.082321,0.992362,0.144893,0.190957,0.786703,0.369824,0.093371,5197,40,680,61,0.210054,1.1295,0.140147,Logistic Regression,1,cv
0.878889,0.555497,0.550296,0.125506,0.985488,0.204396,0.220676,0.812101,0.384269,0.091717,5161,76,648,93,0.118181,1.069342,0.155381,Random Forest,1,cv
0.882737,0.549583,0.669492,0.106613,0.992553,0.183935,0.234921,0.819095,0.417997,0.089422,5198,39,662,79,0.150109,1.103346,0.176515,Gradient Boosting,1,cv
0.874519,0.52347,0.451613,0.05668,0.99026,0.100719,0.124989,0.76847,0.324325,0.096389,5185,51,699,42,-0.010152,0.987285,0.112481,Logistic Regression,2,cv
0.878702,0.556559,0.545977,0.128205,0.984912,0.20765,0.221736,0.818115,0.38966,0.091578,5157,79,646,95,0.143783,1.080908,0.156786,Random Forest,2,cv
0.8782,0.538894,0.555556,0.087719,0.990069,0.151515,0.185046,0.817769,0.393835,0.089991,5184,52,676,65,0.146444,1.089839,0.17139,Gradient Boosting,2,cv
0.874373,0.523375,0.446809,0.05668,0.990071,0.100599,0.123834,0.763886,0.312662,0.097546,5185,52,699,42,-0.059649,0.956035,0.101704,Logistic Regression,3,cv
0.877718,0.558884,0.526316,0.134953,0.982815,0.214823,0.221225,0.805047,0.364926,0.094011,5147,90,641,100,0.01134,1.006267,0.134256,Random Forest,3,cv
0.879391,0.539563,0.590909,0.087719,0.991407,0.152761,0.194013,0.808796,0.376712,0.091789,5192,45,676,65,0.031268,1.011784,0.154716,Gradient Boosting,3,cv
0.876506,0.534422,0.508621,0.07973,0.989114,0.13785,0.164362,0.750767,0.311781,0.097846,5179,57,681,59,-0.198658,0.880285,0.098156,Logistic Regression,4,cv
0.878012,0.555007,0.531429,0.125676,0.984339,0.203279,0.21493,0.801566,0.373054,0.09351,5154,82,647,93,0.044179,1.020387,0.138115,Random Forest,4,cv
0.881024,0.541642,0.638095,0.090541,0.992743,0.15858,0.208796,0.811216,0.38567,0.091344,5198,38,673,67,0.060184,1.037656,0.15808,Gradient Boosting,4,cv
0.881713,0.546692,0.646552,0.101215,0.99217,0.175029,0.223083,0.780912,0.385189,0.092644,5195,41,666,75,0.098174,1.083428,0.14697,Logistic Regression,5,cv
0.885227,0.584612,0.625571,0.184885,0.984339,0.285417,0.296834,0.811413,0.417425,0.089559,5154,82,604,137,0.03747,1.054241,0.175372,Random Forest,5,cv
0.885227,0.562021,0.695035,0.132254,0.991788,0.222222,0.269345,0.818532,0.436228,0.088362,5193,43,643,98,0.070153,1.084247,0.186391,Gradient Boosting,5,cv
