feature,importance
age,0.0539471229404973
lab_abnormal_count,0.04201096559882373
lab_value_max,0.04099473489214375
lab_value_std,0.03887760775105163
lab_value_mean,0.03558875424990946
resp_rate_mean,0.033910004878449515
temperature_c_mean,0.0313357370830313
lab_value_min,0.031317253009389916
spo2_std,0.02870014924754131
lab_value_count,0.028612195307447935
resp_rate_count,0.02783251573322593
temperature_c_median,0.02747137588175301
lab_value_median,0.027026387760056867
map_mean,0.02570446166545415
temperature_c_std,0.024577442756615917
map_min,0.02455734696373358
spo2_mean,0.02425786005543075
heart_rate_mean,0.024215408289334998
heart_rate_std,0.023922746570068192
temperature_c_min,0.023725005996714708
temperature_c_count,0.023170141436246294
resp_rate_std,0.02302782110547485
heart_rate_max,0.022874430990129143
map_count,0.02231415794964794
temperature_c_max,0.021957518734175528
map_std,0.02124908110420777
map_median,0.021043188683671173
resp_rate_median,0.020995347618834825
spo2_count,0.020977151984897777
map_max,0.020534141864705775
heart_rate_min,0.020530181028278766
heart_rate_median,0.020282922299771328
spo2_min,0.01920646123786789
heart_rate_count,0.01838369836662044
resp_rate_max,0.017964698862453787
resp_rate_min,0.017730169079843996
spo2_median,0.010313272938038829
map_std_missing,0.003795936188379673
gender_male,0.003412722412660226
map_mean_missing,0.002931311932054602
map_max_missing,0.0026669344427477882
spo2_mean_missing,0.00260641274108702
map_min_missing,0.0025246794150728127
resp_rate_std_missing,0.002455069092083389
spo2_max,0.002379575157948916
map_median_missing,0.002362277447067929
resp_rate_max_missing,0.001279383602686691
temperature_c_min_missing,0.0012726463487634579
spo2_max_missing,0.0012662611812726975
resp_rate_median_missing,0.0011971658425723912
temperature_c_max_missing,0.0010848150802743087
temperature_c_median_missing,0.0009480681871367243
resp_rate_min_missing,0.0009024197186428991
temperature_c_mean_missing,0.0008519878064137605
spo2_std_missing,0.0008159355997208816
spo2_median_missing,0.0007859811891471898
spo2_min_missing,0.0006577677034661867
temperature_c_std_missing,0.00031638921952314064
resp_rate_mean_missing,0.0002967726856916377
heart_rate_max_missing,0.0002587082839168876
resp_rate_count_missing,0.00018077478090571043
heart_rate_count_missing,0.00015275043017285678
heart_rate_mean_missing,0.00014318743610187255
spo2_count_missing,0.00013539904388877399
lab_value_mean_missing,0.0001316902235892399
map_count_missing,0.0001284938240780178
temperature_c_count_missing,0.00011169498167751608
heart_rate_median_missing,0.00010824276137983687
lab_value_max_missing,0.00010646637624777002
heart_rate_min_missing,0.00010462501707024295
lab_value_std_missing,0.00010319996293181043
lab_abnormal_count_missing,8.847829172855469e-05
lab_value_median_missing,8.603950185078987e-05
lab_value_count_missing,8.076112585953951e-05
lab_value_min_missing,7.876958466841213e-05
heart_rate_std_missing,5.074346397776073e-05
