scenario,run_id,node_count,spark_master,input_format,extract_seconds,transform_seconds,load_seconds,total_seconds,feature_rows,resource_log,workload
1-node,r02,1,local[2],parquet,243.4046484680148,21.792777259019203,6.122819365002215,271.3202450920362,58976,outputs\logs\resource_usage_1-node_r02.csv,Compact
1-node-4c,r02,1,local[4],parquet,206.4916191500088,18.860833704995457,5.460893976007355,230.8133468310116,58976,outputs\logs\resource_usage_1-node-4c_r02.csv,Compact
1-node-8c,r02,1,local[8],parquet,176.70180550197256,21.20712076901691,7.473863258986967,205.38278952997644,58976,outputs\logs\resource_usage_1-node-8c_r02.csv,Compact
1-node,r03,1,local[2],parquet,246.18384621900623,21.135059654014185,5.158410591015127,272.47731646403554,58976,outputs\logs\resource_usage_1-node_r03.csv,Compact
1-node-4c,r03,1,local[4],parquet,209.59434532598243,18.99902503300109,5.837997610011371,234.4313679689949,58976,outputs\logs\resource_usage_1-node-4c_r03.csv,Compact
1-node-8c,r03,1,local[8],parquet,180.67448186699767,21.919056988001103,6.03410819201963,208.6276470470184,58976,outputs\logs\resource_usage_1-node-8c_r03.csv,Compact
1-node,r04,1,local[2],parquet,253.23566382800345,22.79673046298558,5.762019649002468,281.7944139399915,58976,outputs\logs\resource_usage_1-node_r04.csv,Compact
1-node-4c,r04,1,local[4],parquet,209.6213401830173,18.52259800900356,6.036577818973456,234.18051601099432,58976,outputs\logs\resource_usage_1-node-4c_r04.csv,Compact
1-node-8c,r04,1,local[8],parquet,178.05445314900135,16.93691121399752,5.619828385999426,200.6111927489983,58976,outputs\logs\resource_usage_1-node-8c_r04.csv,Compact
1-node,r05,1,local[2],parquet,231.88693243800665,21.48856615301338,5.627895779005485,259.0033943700255,58976,outputs\logs\resource_usage_1-node_r05.csv,Compact
1-node-4c,r05,1,local[4],parquet,228.67953847598983,24.518976564024342,6.454779179999605,259.6532942200138,58976,outputs\logs\resource_usage_1-node-4c_r05.csv,Compact
1-node-8c,r05,1,local[8],parquet,181.67571413499536,17.503247043001465,5.640756415989017,204.81971759398584,58976,outputs\logs\resource_usage_1-node-8c_r05.csv,Compact
1-node,r06,1,local[2],parquet,224.73405530600576,21.90047577797668,5.111572580004577,251.746103663987,58976,outputs\logs\resource_usage_1-node_r06.csv,Compact
1-node-4c,r06,1,local[4],parquet,210.6285475490149,20.02409710601205,6.359172316995682,237.01181697202264,58976,outputs\logs\resource_usage_1-node-4c_r06.csv,Compact
