scenario,run_id,mean_cpu_percent,median_cpu_percent,p95_cpu_percent,mean_memory_percent,peak_memory_percent
1-node,r02,47.34080996884736,45.0,67.8,79.28691588785047,95.8
1-node-4c,r02,61.06534653465345,61.1,81.58999999999999,85.19867986798678,95.8
1-node-8c,r02,80.75136186770429,87.4,98.32,85.14941634241244,95.6
1-node,r03,46.46148867313915,44.5,66.27999999999997,88.98187702265372,96.5
1-node-4c,r03,62.647350993377486,63.2,84.47999999999999,84.8748344370861,95.9
1-node-8c,r03,80.79642857142858,87.4,96.335,88.43968253968254,96.1
1-node,r04,45.28834951456311,43.8,65.57999999999997,88.02556634304206,96.8
1-node-4c,r04,60.576254180602014,60.3,83.42,85.32240802675585,95.7
1-node-8c,r04,81.36363636363636,88.3,98.94,86.6118577075099,95.3
1-node,r05,45.27541528239203,43.4,63.8,84.62990033222592,93.8
1-node-4c,r05,59.90070921985816,59.6,78.175,87.53439716312056,96.2
1-node-8c,r05,80.92379032258064,87.75,97.7,86.62298387096774,93.9
1-node,r06,45.55548172757475,43.6,64.7,87.4249169435216,95.9
1-node-4c,r06,59.85035460992908,60.0,76.69,87.62872340425531,95.1
1-node-8c,r06,81.10914826498423,83.5,98.0,89.25615141955836,96.9
2-node,r02,77.85187319884726,82.3,95.87,92.86685878962537,100.0
2-node,r03,75.23584337349398,80.45,98.17,94.00210843373495,100.0
2-node,r04,68.49155844155845,73.95,91.96,88.61948051948052,100.0
2-node,r05,75.0038596491228,77.2,95.68,88.66245614035087,96.3
2-node,r06,75.7663082437276,77.9,97.0,90.85232974910393,97.7
3-node,r02,72.70330459770115,79.1,99.3,94.94439655172417,100.0
3-node,r03,74.93887587822013,86.9,99.7,94.33934426229509,100.0
3-node,r04,73.63790983606556,82.5,99.4,96.0483606557377,100.0
3-node,r05,76.47386363636363,86.8,100.0,94.65181818181817,100.0
3-node,r06,81.94699140401146,90.1,99.6,93.72750716332379,98.1
